URL,Hostname,Final HTTP status,Content-Length bytes (HEAD),Local lookup milliseconds
https://images.ctfassets.net/z41mabrhnu57/1BstJK0AHIiBFCt8tjXPat/42896f51d0e532eff41c0734b01e059c/Case_Study_-2-_featured_img.png,images.ctfassets.net,200,1151108,6213.63
https://images.ctfassets.net/z41mabrhnu57/20xXLUWUyBqZhaJmquF8RS/b5ef69146450b290129f644c988438db/Screenshot_2026-05-12_182857.png,images.ctfassets.net,200,11845,6214.22
https://images.ctfassets.net/z41mabrhnu57/2N7se9MBEqMpwlwid1uvMG/fc6d760767b9d873f027cebd752be490/Case_Study_-3_-_featured_img.jpg,images.ctfassets.net,200,692955,6213.61
https://images.ctfassets.net/z41mabrhnu57/2Rfh9umoduSLauPbayopCR/22b11267268ebe0e0355cf1f3cb703a5/Frame_43__1_.png,images.ctfassets.net,200,105076,6214.7
https://images.ctfassets.net/z41mabrhnu57/33U0OzmqVgoK4I6TDsjeYq/e8e7b10e737a550adf2a502da0c6d179/Case_Study_3_-_Figure_2.png,images.ctfassets.net,200,21288,6213.71
https://images.ctfassets.net/z41mabrhnu57/3E9crSjEaVktZX5ff9vvKP/ee1404e2006603937e2242f4ff237610/Eric_Njanga_1.jpg,images.ctfassets.net,200,107809,6214.58
https://images.ctfassets.net/z41mabrhnu57/3kQFgLqtwsQbGoUksypCuT/ca32f43038d19620e66f069b5a41c62f/Screenshot_2026-06-08_142147.png,images.ctfassets.net,200,63783,3.64
https://images.ctfassets.net/z41mabrhnu57/3xzjdNvv4BzYiIII3cW6I/5756ef1de77dcc790b98a721561d9a3e/Screenshot_2026-05-12_183253.png,images.ctfassets.net,200,207539,3.64
https://images.ctfassets.net/z41mabrhnu57/4IiWmUU8HlWfT05wDzjYFO/a7c54fa1fab38b1dedce2f0829714854/Screenshot_2026-05-12_150511.png,images.ctfassets.net,200,215582,2.04
https://images.ctfassets.net/z41mabrhnu57/53KbdLSU7gB7DhZcoAwiTy/c71d33a2398f442788945fdf1d945906/Enterprise_App_1.jpg,images.ctfassets.net,200,103720,2.1
https://images.ctfassets.net/z41mabrhnu57/5PUp6WjcgkuoTDxbTZ85qP/f61672244005aa69e86a54c93c0835c8/IMG_0114.jpeg,images.ctfassets.net,200,508898,2.33
https://images.ctfassets.net/z41mabrhnu57/6b0I9bm0rOi9234dJ1Part/c34a0141000189fba41f88dd25f1b1e5/Frame_44.png,images.ctfassets.net,200,460164,2.42
https://images.ctfassets.net/z41mabrhnu57/70ADUA9nD6iUMv61CUn72R/702076e777c90630fdb828c991493030/Case_Study_3_-_Figure_3.png,images.ctfassets.net,200,83208,2.06
